0.914877	0.255785	0.255785	-0.14518	-0	0.29864	0.29864	0.0297485
0.255785	0.168997	0.168997	-0.0308794	-0.29864	-0	-0	0.055708
0.255785	0.168997	0.168997	-0.0308794	-0.29864	-0	-0	0.055708
-0.14518	-0.0308794	-0.0308794	0.0240058	-0.0297485	-0.055708	-0.055708	-0
0	-0.29864	-0.29864	-0.0297485	0.914877	0.255785	0.255785	-0.14518
0.29864	0	0	-0.055708	0.255785	0.168997	0.168997	-0.0308794
0.29864	0	0	-0.055708	0.255785	0.168997	0.168997	-0.0308794
0.0297485	0.055708	0.055708	0	-0.14518	-0.0308794	-0.0308794	0.0240058


0.0352942	-0.000526596	-0.000526598	-0.000361075	-0	-0.0080552	-0.00805521	-0.00343608
-0.000526596	0	0	0	0.0080552	-0	-0	-0
-0.000526598	0	0	0	0.00805521	-0	-0	-0
-0.000361075	0	0	0	0.00343608	-0	-0	-0
0	0.0080552	0.00805521	0.00343608	0.0352942	-0.000526596	-0.000526598	-0.000361075
-0.0080552	0	0	0	-0.000526596	0	0	0
-0.00805521	0	0	0	-0.000526598	0	0	0
-0.00343608	0	0	0	-0.000361075	0	0	0


0	-0.000526598	0	0	-0	0.00805521	-0	-0
-0.000526598	0.0352942	-0.000361075	-0.000526596	-0.00805521	-0	-0.00343608	-0.0080552
0	-0.000361075	0	0	-0	0.00343608	-0	-0
0	-0.000526596	0	0	-0	0.0080552	-0	-0
0	-0.00805521	0	0	0	-0.000526598	0	0
0.00805521	0	0.00343608	0.0080552	-0.000526598	0.0352942	-0.000361075	-0.000526596
0	-0.00343608	0	0	0	-0.000361075	0	0
0	-0.0080552	0	0	0	-0.000526596	0	0


0	0	-0.000526596	0	-0	-0	0.0080552	-0
0	0	-0.000361075	0	-0	-0	0.00343608	-0
-0.000526596	-0.000361075	0.0352942	-0.000526598	-0.0080552	-0.00343608	-0	-0.00805521
0	0	-0.000526598	0	-0	-0	0.00805521	-0
0	0	-0.0080552	0	0	0	-0.000526596	0
0	0	-0.00343608	0	0	0	-0.000361075	0
0.0080552	0.00343608	0	0.00805521	-0.000526596	-0.000361075	0.0352942	-0.000526598
0	0	-0.00805521	0	0	0	-0.000526598	0


0	0	0	-0.000361075	-0	-0	-0	0.00343608
0	0	0	-0.000526598	-0	-0	-0	0.00805521
0	0	0	-0.000526596	-0	-0	-0	0.0080552
-0.000361075	-0.000526598	-0.000526596	0.0352942	-0.00343608	-0.00805521	-0.0080552	-0
0	0	0	-0.00343608	0	0	0	-0.000361075
0	0	0	-0.00805521	0	0	0	-0.000526598
0	0	0	-0.0080552	0	0	0	-0.000526596
0.00343608	0.00805521	0.0080552	0	-0.000361075	-0.000526598	-0.000526596	0.0352942
